setter_method_id,getter_method_id,payload_hex,expected_after_payload_hex,trials,state_changed_count,target_state_reached_count,target_state_reached_rate,before_payload_distribution,after_payload_distribution,classification
10,9,0000000701000100010001,0000000701000100010001,10,0,10,1.000000,0000000701000100010001=10,0000000701000100010001=10,reproducible_target_state
12,11,0000000701020300010203,0000000701020300010203,10,0,10,1.000000,0000000701020300010203=10,0000000701020300010203=10,reproducible_target_state
