candidate_index,trial_index,setter_method_id,getter_method_id,setter_payload_hex,expected_after_payload_hex,reset_payload_hex,reset_retcode,reset_verdict,reset_after_retcode,reset_after_payload_hex,before_retcode,before_payload_hex,setter_retcode,setter_verdict,after_retcode,after_payload_hex,state_changed,target_state_reached,latency_ms,error
1,1,10,9,0000000701000100010001,0000000701000100010001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,0000000701000100010001,True,True,34.249,
1,2,10,9,0000000701000100010001,0000000701000100010001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,0000000701000100010001,True,True,33.414,
1,3,10,9,0000000701000100010001,0000000701000100010001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,0000000701000100010001,True,True,33.545,
2,1,12,11,0000000701020300010203,0000000701020300010203,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,0000000701020300010203,True,True,35.217,
2,2,12,11,0000000701020300010203,0000000701020300010203,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,0000000701020300010203,True,True,35.664,
2,3,12,11,0000000701020300010203,0000000701020300010203,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,0000000701020300010203,True,True,34.467,
