setter_method_id,getter_method_id,payload_hex,expected_after_payload_hex,trials,normal_response_count,state_changed_count,state_changed_rate,target_state_reached_count,target_state_reached_rate,reproducible_state_changed,classification,before_payload_distribution,after_payload_distribution,avg_latency_ms
10,9,0000000701000100010001,0000000701000100010001,3,3,3,1.000000,3,1.000000,True,normal_idempotent_state_setter,00000000=3,0000000701000100010001=3,33.736
12,11,0000000701020300010203,0000000701020300010203,3,3,3,1.000000,3,1.000000,True,normal_idempotent_state_setter,00000000=3,0000000701020300010203=3,35.116
