candidate_index,trial_index,setter_method_id,getter_method_id,setter_payload_hex,before_retcode,before_payload_hex,setter_retcode,setter_verdict,after_retcode,after_payload_hex,state_changed,latency_ms,error
1,1,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.653,
1,2,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.771,
1,3,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.736,
1,4,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.247,
1,5,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.968,
1,6,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.062,
1,7,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.083,
1,8,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.014,
1,9,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.017,
1,10,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.409,
1,11,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,22.414,
1,12,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.780,
1,13,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.343,
1,14,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.529,
1,15,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.834,
1,16,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.769,
1,17,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.062,
1,18,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.999,
1,19,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.047,
1,20,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.081,
1,21,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.261,
1,22,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.028,
1,23,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.899,
1,24,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.789,
1,25,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.976,
1,26,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.171,
1,27,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.046,
1,28,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.508,
1,29,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.688,
1,30,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.726,
16,1,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.504,
16,2,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.641,
16,3,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.770,
16,4,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.912,
16,5,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.295,
16,6,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.413,
16,7,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.437,
16,8,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.423,
