setter_method_id,getter_method_id,payload_hex,expected_after_payload_hex,trials,normal_response_count,state_changed_count,state_changed_rate,target_state_reached_count,target_state_reached_rate,reproducible_state_changed,classification,before_payload_distribution,after_payload_distribution,avg_latency_ms
10,9,0000000701000100010001,0000000701000100010001,10,10,0,0.000000,10,1.000000,False,reproducible_target_state,0000000701000100010001=10,0000000701000100010001=10,20.438
12,11,0000000701020300010203,0000000701020300010203,10,10,0,0.000000,10,1.000000,False,reproducible_target_state,0000000701020300010203=10,0000000701020300010203=10,22.843
