candidate_index,trial_index,setter_method_id,getter_method_id,setter_payload_hex,before_retcode,before_payload_hex,setter_retcode,setter_verdict,after_retcode,after_payload_hex,state_changed,latency_ms,error
1,1,10,9,000000000000000000000000000000000000000000000001,0x00,0000000701010001000100,0x00,normal_response,0x00,00000000,True,34.496,
1,2,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.835,
1,3,10,9,000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.805,
2,1,10,9,0000000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.916,
2,2,10,9,0000000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.054,
2,3,10,9,0000000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.235,
3,1,10,9,0000000000000000000000000000000000000000000000010000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.523,
3,2,10,9,0000000000000000000000000000000000000000000000010000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.037,
3,3,10,9,0000000000000000000000000000000000000000000000010000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.113,
4,1,10,9,00000000000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.880,
4,2,10,9,00000000000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.649,
4,3,10,9,00000000000000000000000000000000000000000000000000000001,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.440,
5,1,10,9,00000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.164,
5,2,10,9,00000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.435,
5,3,10,9,00000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.572,
6,1,10,9,000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.133,
6,2,10,9,000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.495,
6,3,10,9,000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.046,
7,1,10,9,000000000000000000000000000000000000000000000001000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.978,
7,2,10,9,000000000000000000000000000000000000000000000001000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.005,
7,3,10,9,000000000000000000000000000000000000000000000001000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.100,
8,1,10,9,0000000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.301,
8,2,10,9,0000000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.635,
8,3,10,9,0000000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.974,
9,1,10,9,0000000000000000000000000000000000000000000000010000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.756,
9,2,10,9,0000000000000000000000000000000000000000000000010000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.191,
9,3,10,9,0000000000000000000000000000000000000000000000010000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.365,
10,1,10,9,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.205,
10,2,10,9,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.414,
10,3,10,9,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.934,
11,1,10,9,00000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.282,
11,2,10,9,00000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.149,
11,3,10,9,00000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.618,
12,1,10,9,000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.715,
12,2,10,9,000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,23.142,
12,3,10,9,000000000000000000000000000000000000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.698,
13,1,10,9,0000000000000000000000000000000000000000000000000001000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.028,
13,2,10,9,0000000000000000000000000000000000000000000000000001000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.889,
13,3,10,9,0000000000000000000000000000000000000000000000000001000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.972,
14,1,10,9,00000000000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.396,
14,2,10,9,00000000000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.881,
14,3,10,9,00000000000000000000000000000000000000000000000000000000000100000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.985,
15,1,10,9,00000000000000000000000000000000000000000000000000010000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.515,
15,2,10,9,00000000000000000000000000000000000000000000000000010000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.219,
15,3,10,9,00000000000000000000000000000000000000000000000000010000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,19.858,
16,1,12,11,00000000b40000640000000000000000,0x00,00000007322d1e1e3c4146,0x00,normal_response,0x00,00000000,True,20.178,
16,2,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.253,
16,3,12,11,00000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,21.816,
17,1,12,11,000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.277,
17,2,12,11,000000000000b40000640000000000000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,20.574,
