setter_method_id,getter_method_id,payload_hex,trials,normal_response_count,state_changed_count,state_changed_rate,reproducible_state_changed,classification,before_payload_distribution,after_payload_distribution,avg_latency_ms
10,9,0000000701000100010001,10,10,1,0.100000,False,flaky_candidate,00000000=1;0000000701000100010001=9,0000000701000100010001=10,20.648
12,11,0000000701020300010203,10,10,1,0.100000,False,flaky_candidate,00000000=1;0000000701020300010203=9,0000000701020300010203=10,21.046
