source_file,frame.number,frame.time_relative,ip.src,ip.dst,udp.srcport,udp.dstport,someip.serviceid,someip.methodid,someip.clientid,someip.sessionid,someip.messagetype,someip.returncode,data
data/playground_someip_only.pcapng,"37","2.085841000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000008","0x00001343","0x00000008","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"38","2.091320000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"39","2.097039000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x00000009","0x00001343","0x00000009","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"40","2.102545000","192.168.40.135","192.168.40.134","39512","31000","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"41","2.108190000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x0000000b","0x00001343","0x0000000a","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"42","2.600853000","192.168.40.134","192.168.40.135","31000","39512","0x0000ff40","0x0000800a","0x00000000","0x00000270","0x00000002","0x00000000",
data/playground_someip_only.pcapng,"43","4.000776000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"44","4.006654000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000001","0x00001343","0x00000001","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"45","4.013898000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"46","4.019791000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000002","0x00001343","0x00000002","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"47","4.025554000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"48","4.031594000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000003","0x00001343","0x00000003","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"49","4.037153000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"50","4.043170000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000004","0x00001343","0x00000004","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"51","4.050345000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000000","0x00000000",
data/playground_someip_only.pcapng,"52","4.055854000","192.168.40.134","192.168.40.135","31000","39464","0x0000ff40","0x00000005","0x00001343","0x00000005","0x00000080","0x00000000",
data/playground_someip_only.pcapng,"53","4.061161000","192.168.40.135","192.168.40.134","39464","31000","0x0000ff40","0x00000006","0x00001343","0x00000006","0x00000000","0x00000000",
