timestamp,candidate_index,trial_index,method_id,payload_hex,payload_len,response_received,msg_type,retcode,verdict,latency_ms,error
14:13:09.745,1,1,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.480,
14:13:09.752,1,2,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.763,
14:13:09.760,1,3,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.326,
14:13:09.767,1,4,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.224,
14:13:09.773,1,5,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.334,
14:13:09.780,1,6,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.191,
14:13:09.787,1,7,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.354,
14:13:09.794,1,8,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.244,
14:13:09.801,1,9,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,15.773,
14:13:09.817,1,10,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,13.879,
14:13:09.832,1,11,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,26.411,
14:13:09.859,1,12,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,19.219,
14:13:09.879,1,13,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,15.634,
14:13:09.895,1,14,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.175,
14:13:09.902,1,15,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.288,
14:13:09.909,1,16,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.490,
14:13:09.916,1,17,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.163,
14:13:09.923,1,18,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.262,
14:13:09.929,1,19,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.285,
14:13:09.936,1,20,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.402,
14:13:09.943,1,21,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.261,
14:13:09.950,1,22,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.039,
14:13:09.957,1,23,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.193,
14:13:09.963,1,24,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.105,
14:13:09.970,1,25,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.219,
14:13:09.977,1,26,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.152,
14:13:09.984,1,27,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.293,
14:13:09.990,1,28,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.372,
14:13:09.997,1,29,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.113,
14:13:10.004,1,30,10,00000000000000000000000000000001,16,True,0x80,0x00,normal_response,6.247,
